Cluster,Central_File
0,Voen_Obozren_060524_010088.t
1,Voen_Obozren_060524_010067.t
2,Voen_Obozren_060524_010700.t
3,Voen_Obozren_060524_010432.t
4,VoenObozrenN_0011.t
5,Voen_Obozren_060524_010503.t
6,Voen_Obozren_060524_010615.t
7,Voen_Obozren_060524_010697.t
8,Voen_Obozren_060524_010186.t
9,Voen_Obozren_060524_011053.t
10,VoenObozrenN_0014.t
11,Voen_Obozren_060524_010019.t
12,Voen_Obozren_060524_010918.t
13,Voen_Obozren_060524_010777.t
14,Voen_Obozren_060524_010628.t
15,Voen_Obozren_060524_010014.t
16,Voen_Obozren_060524_010352.t
17,Voen_Obozren_060524_010084.t
18,Voen_Obozren_060524_010620.t
19,Voen_Obozren_060524_010755.t
20,Voen_Obozren_060524_010972.t
21,Voen_Obozren_060524_010453.t
22,Voen_Obozren_060524_010761.t
23,Voen_Obozren_060524_010375.t
24,Voen_Obozren_060524_010831.t
25,Voen_Obozren_060524_010249.t
26,Voen_Obozren_060524_010983.t
27,Voen_Obozren_060524_011065.t
28,Voen_Obozren_060524_010591.t
29,Voen_Obozren_060524_010333.t
30,Voen_Obozren_060524_010905.t
31,Voen_Obozren_060524_010853.t
32,Voen_Obozren_060524_011052.t
33,Voen_Obozren_060524_010955.t
34,Voen_Obozren_060524_010977.t
35,Voen_Obozren_060524_010624.t
36,Voen_Obozren_060524_010217.t
37,Voen_Obozren_060524_011093.t
38,VoenObozrenN_0005.t
39,VoenObozrenN_0021.t
40,Voen_Obozren_060524_010736.t
41,VoenObozrenN_0019.t
42,VoenObozrenN_0012.t
43,Voen_Obozren_060524_010274.t
44,Voen_Obozren_060524_011022.t
45,Voen_Obozren_060524_010494.t
46,Voen_Obozren_060524_010011.t
47,Voen_Obozren_060524_010253.t
48,Voen_Obozren_060524_010404.t
49,Voen_Obozren_060524_010298.t
50,Voen_Obozren_060524_010883.t
51,Voen_Obozren_060524_010654.t
52,Voen_Obozren_060524_011023.t
53,VoenObozrenN_0013.t
54,Voen_Obozren_060524_010753.t
55,Voen_Obozren_060524_010050.t
56,Voen_Obozren_060524_010712.t
57,Voen_Obozren_060524_010471.t
58,Voen_Obozren_060524_010270.t
59,Voen_Obozren_060524_010610.t
60,Voen_Obozren_060524_010960.t
61,Voen_Obozren_060524_010563.t
62,Voen_Obozren_060524_010602.t
63,Voen_Obozren_060524_010431.t
64,VoenObozrenN_0015.t
65,Voen_Obozren_060524_010928.t
66,Voen_Obozren_060524_010646.t
67,VoenObozrenN_0007.t
68,Voen_Obozren_060524_010199.t
69,Voen_Obozren_060524_010819.t
70,Voen_Obozren_060524_010467.t
71,Voen_Obozren_060524_010264.t
72,Voen_Obozren_060524_010218.t
73,Voen_Obozren_060524_010619.t
74,Voen_Obozren_060524_011044.t
75,Voen_Obozren_060524_010924.t
76,Voen_Obozren_060524_011061.t
77,Voen_Obozren_060524_010287.t
78,Voen_Obozren_060524_010119.t
79,VoenObozrenN_0001.t
80,Voen_Obozren_060524_010982.t
81,Voen_Obozren_060524_011013.t
82,Voen_Obozren_060524_011058.t
83,VoenObozrenN_0017.t
84,Voen_Obozren_060524_010142.t
85,Voen_Obozren_060524_010034.t
86,Voen_Obozren_060524_010865.t
87,Voen_Obozren_060524_010416.t
88,Voen_Obozren_060524_010060.t
89,Voen_Obozren_060524_010111.t
90,Voen_Obozren_060524_010007.t
91,Voen_Obozren_060524_010545.t
92,Voen_Obozren_060524_010566.t
93,Voen_Obozren_060524_010150.t
94,Voen_Obozren_060524_010469.t
95,Voen_Obozren_060524_010576.t
96,Voen_Obozren_060524_010470.t
97,VoenObozrenN_0018.t
98,Voen_Obozren_060524_010780.t
99,Voen_Obozren_060524_010437.t
