Document,Cluster
VoenObozrenN_0001.t,79
VoenObozrenN_0002.t,18
VoenObozrenN_0003.t,15
VoenObozrenN_0004.t,36
VoenObozrenN_0005.t,38
VoenObozrenN_0006.t,16
VoenObozrenN_0007.t,67
VoenObozrenN_0008.t,1
VoenObozrenN_0009.t,64
VoenObozrenN_0010.t,15
VoenObozrenN_0011.t,4
VoenObozrenN_0012.t,42
VoenObozrenN_0013.t,53
VoenObozrenN_0014.t,10
VoenObozrenN_0015.t,64
VoenObozrenN_0016.t,0
VoenObozrenN_0017.t,83
VoenObozrenN_0018.t,97
VoenObozrenN_0019.t,41
VoenObozrenN_0020.t,10
VoenObozrenN_0021.t,39
Voen_Obozren_060524_010001.t,34
Voen_Obozren_060524_010002.t,6
Voen_Obozren_060524_010003.t,40
Voen_Obozren_060524_010004.t,98
Voen_Obozren_060524_010005.t,1
Voen_Obozren_060524_010006.t,79
Voen_Obozren_060524_010007.t,90
Voen_Obozren_060524_010008.t,15
Voen_Obozren_060524_010009.t,15
Voen_Obozren_060524_010010.t,18
Voen_Obozren_060524_010011.t,46
Voen_Obozren_060524_010012.t,15
Voen_Obozren_060524_010013.t,36
Voen_Obozren_060524_010014.t,15
Voen_Obozren_060524_010015.t,13
Voen_Obozren_060524_010016.t,29
Voen_Obozren_060524_010017.t,12
Voen_Obozren_060524_010018.t,12
Voen_Obozren_060524_010019.t,11
Voen_Obozren_060524_010020.t,16
Voen_Obozren_060524_010021.t,88
Voen_Obozren_060524_010022.t,43
Voen_Obozren_060524_010023.t,7
Voen_Obozren_060524_010024.t,25
Voen_Obozren_060524_010025.t,15
Voen_Obozren_060524_010026.t,70
Voen_Obozren_060524_010027.t,18
Voen_Obozren_060524_010028.t,61
Voen_Obozren_060524_010029.t,20
Voen_Obozren_060524_010030.t,3
Voen_Obozren_060524_010031.t,1
Voen_Obozren_060524_010032.t,13
Voen_Obozren_060524_010033.t,85
Voen_Obozren_060524_010034.t,85
Voen_Obozren_060524_010035.t,37
Voen_Obozren_060524_010036.t,36
Voen_Obozren_060524_010037.t,21
Voen_Obozren_060524_010038.t,81
Voen_Obozren_060524_010039.t,38
Voen_Obozren_060524_010040.t,29
Voen_Obozren_060524_010041.t,41
Voen_Obozren_060524_010042.t,15
Voen_Obozren_060524_010043.t,15
Voen_Obozren_060524_010044.t,23
Voen_Obozren_060524_010045.t,84
Voen_Obozren_060524_010046.t,16
Voen_Obozren_060524_010047.t,18
Voen_Obozren_060524_010048.t,18
Voen_Obozren_060524_010049.t,30
Voen_Obozren_060524_010050.t,55
Voen_Obozren_060524_010051.t,15
Voen_Obozren_060524_010052.t,6
Voen_Obozren_060524_010053.t,61
Voen_Obozren_060524_010054.t,2
Voen_Obozren_060524_010055.t,26
Voen_Obozren_060524_010056.t,15
Voen_Obozren_060524_010057.t,35
Voen_Obozren_060524_010058.t,15
Voen_Obozren_060524_010059.t,12
Voen_Obozren_060524_010060.t,88
Voen_Obozren_060524_010061.t,52
Voen_Obozren_060524_010062.t,0
Voen_Obozren_060524_010063.t,98
Voen_Obozren_060524_010064.t,22
Voen_Obozren_060524_010065.t,27
Voen_Obozren_060524_010066.t,8
Voen_Obozren_060524_010067.t,1
Voen_Obozren_060524_010068.t,67
Voen_Obozren_060524_010069.t,1
