Document,Cluster
VoenObozrenN_0001.t,-1
VoenObozrenN_0002.t,-1
VoenObozrenN_0003.t,-1
VoenObozrenN_0004.t,-1
VoenObozrenN_0005.t,-1
VoenObozrenN_0006.t,-1
VoenObozrenN_0007.t,-1
VoenObozrenN_0008.t,-1
VoenObozrenN_0009.t,-1
VoenObozrenN_0010.t,-1
VoenObozrenN_0011.t,-1
VoenObozrenN_0012.t,-1
VoenObozrenN_0013.t,-1
VoenObozrenN_0014.t,-1
VoenObozrenN_0015.t,-1
VoenObozrenN_0016.t,-1
VoenObozrenN_0017.t,-1
VoenObozrenN_0018.t,-1
VoenObozrenN_0019.t,-1
VoenObozrenN_0020.t,-1
VoenObozrenN_0021.t,-1
Voen_Obozren_060524_010001.t,-1
Voen_Obozren_060524_010002.t,-1
Voen_Obozren_060524_010003.t,-1
Voen_Obozren_060524_010004.t,-1
Voen_Obozren_060524_010005.t,-1
Voen_Obozren_060524_010006.t,-1
Voen_Obozren_060524_010007.t,-1
Voen_Obozren_060524_010008.t,-1
Voen_Obozren_060524_010009.t,-1
Voen_Obozren_060524_010010.t,-1
Voen_Obozren_060524_010011.t,-1
Voen_Obozren_060524_010012.t,-1
Voen_Obozren_060524_010013.t,-1
Voen_Obozren_060524_010014.t,-1
Voen_Obozren_060524_010015.t,-1
Voen_Obozren_060524_010016.t,-1
Voen_Obozren_060524_010017.t,-1
Voen_Obozren_060524_010018.t,4
Voen_Obozren_060524_010019.t,-1
Voen_Obozren_060524_010020.t,-1
Voen_Obozren_060524_010021.t,-1
Voen_Obozren_060524_010022.t,-1
Voen_Obozren_060524_010023.t,-1
Voen_Obozren_060524_010024.t,-1
Voen_Obozren_060524_010025.t,-1
Voen_Obozren_060524_010026.t,-1
Voen_Obozren_060524_010027.t,-1
Voen_Obozren_060524_010028.t,0
Voen_Obozren_060524_010029.t,-1
Voen_Obozren_060524_010030.t,-1
Voen_Obozren_060524_010031.t,-1
Voen_Obozren_060524_010032.t,-1
Voen_Obozren_060524_010033.t,-1
Voen_Obozren_060524_010034.t,-1
Voen_Obozren_060524_010035.t,-1
Voen_Obozren_060524_010036.t,-1
Voen_Obozren_060524_010037.t,-1
Voen_Obozren_060524_010038.t,-1
Voen_Obozren_060524_010039.t,-1
Voen_Obozren_060524_010040.t,-1
Voen_Obozren_060524_010041.t,-1
Voen_Obozren_060524_010042.t,-1
Voen_Obozren_060524_010043.t,-1
Voen_Obozren_060524_010044.t,-1
Voen_Obozren_060524_010045.t,-1
Voen_Obozren_060524_010046.t,-1
Voen_Obozren_060524_010047.t,-1
Voen_Obozren_060524_010048.t,-1
Voen_Obozren_060524_010049.t,-1
Voen_Obozren_060524_010050.t,-1
Voen_Obozren_060524_010051.t,-1
