Cluster,Central_File
0,VoenObozrenN_0007.t
1,Voen_Obozren_060524_010044.t
2,Voen_Obozren_060524_010217.t
3,Voen_Obozren_060524_010319.t
4,Voen_Obozren_060524_010642.t
5,Voen_Obozren_060524_010658.t
6,Voen_Obozren_060524_011001.t
7,Voen_Obozren_060524_010559.t
8,Voen_Obozren_060524_011062.t
9,Voen_Obozren_060524_011039.t
10,Voen_Obozren_060524_010584.t
11,Voen_Obozren_060524_010888.t
12,Voen_Obozren_060524_010379.t
13,Voen_Obozren_060524_010970.t
14,Voen_Obozren_060524_010638.t
15,Voen_Obozren_060524_010517.t
16,VoenObozrenN_0002.t
17,Voen_Obozren_060524_010685.t
18,Voen_Obozren_060524_010980.t
19,VoenObozrenN_0006.t
20,Voen_Obozren_060524_010453.t
21,VoenObozrenN_0018.t
22,Voen_Obozren_060524_010285.t
23,VoenObozrenN_0015.t
24,Voen_Obozren_060524_010334.t
25,VoenObozrenN_0020.t
26,Voen_Obozren_060524_010411.t
27,VoenObozrenN_0016.t
28,Voen_Obozren_060524_010690.t
29,Voen_Obozren_060524_010075.t
30,VoenObozrenN_0011.t
31,Voen_Obozren_060524_010713.t
32,Voen_Obozren_060524_010563.t
33,Voen_Obozren_060524_011066.t
34,Voen_Obozren_060524_010637.t
35,Voen_Obozren_060524_011043.t
36,Voen_Obozren_060524_011053.t
37,Voen_Obozren_060524_010600.t
38,Voen_Obozren_060524_010759.t
39,Voen_Obozren_060524_010996.t
40,Voen_Obozren_060524_010868.t
41,Voen_Obozren_060524_010496.t
42,Voen_Obozren_060524_010333.t
43,Voen_Obozren_060524_010710.t
44,Voen_Obozren_060524_010338.t
45,Voen_Obozren_060524_010278.t
46,Voen_Obozren_060524_010253.t
47,Voen_Obozren_060524_010803.t
48,Voen_Obozren_060524_010376.t
49,Voen_Obozren_060524_010507.t
50,Voen_Obozren_060524_010677.t
51,Voen_Obozren_060524_010011.t
52,Voen_Obozren_060524_010622.t
53,Voen_Obozren_060524_010192.t
54,Voen_Obozren_060524_010062.t
55,VoenObozrenN_0001.t
56,Voen_Obozren_060524_010398.t
57,Voen_Obozren_060524_010824.t
58,Voen_Obozren_060524_010097.t
59,VoenObozrenN_0013.t
60,Voen_Obozren_060524_010821.t
61,VoenObozrenN_0009.t
62,Voen_Obozren_060524_010833.t
63,Voen_Obozren_060524_010279.t
64,Voen_Obozren_060524_010400.t
65,Voen_Obozren_060524_010605.t
66,VoenObozrenN_0017.t
67,Voen_Obozren_060524_011052.t
68,Voen_Obozren_060524_010067.t
69,Voen_Obozren_060524_010682.t
70,Voen_Obozren_060524_010972.t
71,Voen_Obozren_060524_010187.t
72,Voen_Obozren_060524_011069.t
73,Voen_Obozren_060524_010994.t
74,Voen_Obozren_060524_011081.t
75,Voen_Obozren_060524_010913.t
76,VoenObozrenN_0010.t
77,Voen_Obozren_060524_010128.t
78,Voen_Obozren_060524_010112.t
79,Voen_Obozren_060524_010927.t
80,Voen_Obozren_060524_010766.t
81,Voen_Obozren_060524_010137.t
82,Voen_Obozren_060524_010780.t
83,Voen_Obozren_060524_011011.t
84,Voen_Obozren_060524_010947.t
85,Voen_Obozren_060524_010695.t
86,Voen_Obozren_060524_010296.t
87,Voen_Obozren_060524_010211.t
88,Voen_Obozren_060524_010030.t
89,Voen_Obozren_060524_010995.t
90,Voen_Obozren_060524_010777.t
91,Voen_Obozren_060524_010251.t
92,VoenObozrenN_0021.t
93,Voen_Obozren_060524_010862.t
94,Voen_Obozren_060524_010704.t
95,Voen_Obozren_060524_010246.t
96,Voen_Obozren_060524_010074.t
97,Voen_Obozren_060524_010432.t
98,Voen_Obozren_060524_010619.t
99,VoenObozrenN_0019.t
100,Voen_Obozren_060524_010662.t
101,Voen_Obozren_060524_010363.t
102,Voen_Obozren_060524_010647.t
103,Voen_Obozren_060524_011025.t
104,Voen_Obozren_060524_010624.t
105,Voen_Obozren_060524_010958.t
106,Voen_Obozren_060524_010476.t
107,Voen_Obozren_060524_010678.t
108,Voen_Obozren_060524_011026.t
109,Voen_Obozren_060524_010332.t
110,Voen_Obozren_060524_010954.t
111,VoenObozrenN_0004.t
112,Voen_Obozren_060524_010371.t
113,Voen_Obozren_060524_010499.t
114,Voen_Obozren_060524_010546.t
115,Voen_Obozren_060524_010771.t
116,Voen_Obozren_060524_011010.t
117,Voen_Obozren_060524_010048.t
118,VoenObozrenN_0005.t
119,Voen_Obozren_060524_010373.t
120,Voen_Obozren_060524_011093.t
121,Voen_Obozren_060524_010726.t
122,Voen_Obozren_060524_010645.t
123,Voen_Obozren_060524_010832.t
124,Voen_Obozren_060524_010182.t
125,Voen_Obozren_060524_010886.t
126,VoenObozrenN_0012.t
127,Voen_Obozren_060524_010256.t
128,Voen_Obozren_060524_011009.t
129,Voen_Obozren_060524_010020.t
130,Voen_Obozren_060524_010735.t
131,Voen_Obozren_060524_010473.t
132,Voen_Obozren_060524_010143.t
133,Voen_Obozren_060524_010691.t
134,Voen_Obozren_060524_010951.t
135,Voen_Obozren_060524_010002.t
136,Voen_Obozren_060524_010055.t
137,Voen_Obozren_060524_010417.t
138,Voen_Obozren_060524_010260.t
139,Voen_Obozren_060524_010516.t
140,Voen_Obozren_060524_010280.t
141,Voen_Obozren_060524_010786.t
142,Voen_Obozren_060524_010389.t
143,Voen_Obozren_060524_010186.t
144,Voen_Obozren_060524_010755.t
145,Voen_Obozren_060524_011013.t
146,Voen_Obozren_060524_010762.t
147,Voen_Obozren_060524_011063.t
148,Voen_Obozren_060524_010033.t
149,Voen_Obozren_060524_010620.t
