Document,Cluster
VoenObozrenN_0001.t,55
VoenObozrenN_0002.t,16
VoenObozrenN_0003.t,101
VoenObozrenN_0004.t,111
VoenObozrenN_0005.t,118
VoenObozrenN_0006.t,19
VoenObozrenN_0007.t,0
VoenObozrenN_0008.t,52
VoenObozrenN_0009.t,61
VoenObozrenN_0010.t,76
VoenObozrenN_0011.t,30
VoenObozrenN_0012.t,126
VoenObozrenN_0013.t,59
VoenObozrenN_0014.t,25
VoenObozrenN_0015.t,23
VoenObozrenN_0016.t,27
VoenObozrenN_0017.t,66
VoenObozrenN_0018.t,21
VoenObozrenN_0019.t,99
VoenObozrenN_0020.t,25
VoenObozrenN_0021.t,92
Voen_Obozren_060524_010001.t,97
Voen_Obozren_060524_010002.t,135
Voen_Obozren_060524_010003.t,53
Voen_Obozren_060524_010004.t,82
Voen_Obozren_060524_010005.t,139
Voen_Obozren_060524_010006.t,55
Voen_Obozren_060524_010007.t,123
Voen_Obozren_060524_010008.t,50
Voen_Obozren_060524_010009.t,76
Voen_Obozren_060524_010010.t,16
Voen_Obozren_060524_010011.t,51
Voen_Obozren_060524_010012.t,101
Voen_Obozren_060524_010013.t,111
Voen_Obozren_060524_010014.t,50
Voen_Obozren_060524_010015.t,5
Voen_Obozren_060524_010016.t,42
Voen_Obozren_060524_010017.t,6
Voen_Obozren_060524_010018.t,6
Voen_Obozren_060524_010019.t,74
Voen_Obozren_060524_010020.t,129
Voen_Obozren_060524_010021.t,72
Voen_Obozren_060524_010022.t,43
Voen_Obozren_060524_010023.t,87
Voen_Obozren_060524_010024.t,16
Voen_Obozren_060524_010025.t,76
Voen_Obozren_060524_010026.t,101
Voen_Obozren_060524_010027.t,120
Voen_Obozren_060524_010028.t,32
Voen_Obozren_060524_010029.t,70
Voen_Obozren_060524_010030.t,88
Voen_Obozren_060524_010031.t,139
Voen_Obozren_060524_010032.t,85
Voen_Obozren_060524_010033.t,148
Voen_Obozren_060524_010034.t,148
Voen_Obozren_060524_010035.t,37
Voen_Obozren_060524_010036.t,76
Voen_Obozren_060524_010037.t,50
Voen_Obozren_060524_010038.t,145
Voen_Obozren_060524_010039.t,118
Voen_Obozren_060524_010040.t,42
Voen_Obozren_060524_010041.t,74
Voen_Obozren_060524_010042.t,57
Voen_Obozren_060524_010043.t,50
Voen_Obozren_060524_010044.t,1
Voen_Obozren_060524_010045.t,22
Voen_Obozren_060524_010046.t,19
Voen_Obozren_060524_010047.t,117
Voen_Obozren_060524_010048.t,117
Voen_Obozren_060524_010049.t,57
Voen_Obozren_060524_010050.t,79
Voen_Obozren_060524_010051.t,97
Voen_Obozren_060524_010052.t,22
Voen_Obozren_060524_010053.t,32
Voen_Obozren_060524_010054.t,37
Voen_Obozren_060524_010055.t,136
Voen_Obozren_060524_010056.t,3
Voen_Obozren_060524_010057.t,46
Voen_Obozren_060524_010058.t,83
Voen_Obozren_060524_010059.t,102
Voen_Obozren_060524_010060.t,72
