DocumentName,NormalizedCollocation,OriginalCollocation,Frequency
VoenObozrenN_0001.t,западный блок,западный блок,00000002
VoenObozrenN_0001.t,беспилотный аппарат,беспилотный аппарат,00000001
VoenObozrenN_0001.t,борт судно,борт судна,00000001
VoenObozrenN_0001.t,высокий точность,высокая точность,00000001
VoenObozrenN_0001.t,высокий уровень технический оснащенность,высокий уровень технической оснащенности,00000001
VoenObozrenN_0001.t,западный самолёт,западный самолёт,00000001
VoenObozrenN_0001.t,западный страна,западные страны,00000001
VoenObozrenN_0001.t,использование высокотехнологичный спутник,использование высокотехнологичных спутников,00000001
VoenObozrenN_0001.t,контроль за действие,контроль за действием,00000001
VoenObozrenN_0001.t,летательный аппарат,летательный аппарат,00000001
VoenObozrenN_0001.t,летательный аппарат западный страна,летательный аппарат западных стран,00000001
VoenObozrenN_0001.t,официальный заявление,официальное заявление,00000001
VoenObozrenN_0001.t,п 270,П-270,00000001
VoenObozrenN_0001.t,поверхность вода,поверхности воды,00000001
VoenObozrenN_0001.t,профильный ведомство,профильное ведомство,00000001
VoenObozrenN_0001.t,решающий действие,решающее действие,00000001
VoenObozrenN_0001.t,род действие,рода действия,00000001
VoenObozrenN_0001.t,самолет западный блок,самолет Западного блока,00000001
VoenObozrenN_0001.t,"сверхзвуковой изделие тип "" москит "" п 270","сверхзвуковое изделие типа ""Москит"" П-270",00000001
VoenObozrenN_0001.t,текущий событие,текущие события,00000001
VoenObozrenN_0001.t,территория румыния,территория Румынии,00000001
VoenObozrenN_0001.t,технический оснащенность,техническая оснащенность,00000001
VoenObozrenN_0001.t,управление беспилотный аппарат,управление беспилотным аппаратом,00000001
VoenObozrenN_0001.t,штатный численность,штатная численность,00000001
VoenObozrenN_0001.t,эффективный средство,эффективное средство,00000001
VoenObozrenN_0002.t,ядерный удар,ядерный удар,00000010
VoenObozrenN_0002.t,ядерный оружие,ядерное оружие,00000008
VoenObozrenN_0002.t,сяс великобритания,СЯС Великобритании,00000006
VoenObozrenN_0002.t,британский пларб,британская ПЛАРБ,00000005
VoenObozrenN_0002.t,боевой часть,боевые части,00000004
VoenObozrenN_0002.t,гиперзвуковой кр,гиперзвуковая КР,00000004
VoenObozrenN_0002.t,обезоруживающий удар,обезоруживающий удар,00000004
VoenObozrenN_0002.t,пларб тип vanguard,ПЛАРБ типа Vanguard,00000004
VoenObozrenN_0002.t,стратегический бомбардировщик,стратегический бомбардировщик,00000004
VoenObozrenN_0002.t,ядерный сдерживание,ядерное сдерживание,00000004
VoenObozrenN_0002.t,f 35,F-35,00000003
VoenObozrenN_0002.t,американский ядерный оружие,американское ядерное оружие,00000003
VoenObozrenN_0002.t,баллистический ракета,баллистическая ракета,00000003
VoenObozrenN_0002.t,вооружённый сила,вооружённые силы,00000003
