Cluster,Central_File
0,VoenObozren2016_2019_1_0020.t
1,VoenObozren2016_2019_1_0289.t
2,VoenObozren2016_2019_1_0292.t
3,VoenObozren2016_2019_1_0033.t
4,VoenObozren2016_2019_1_0222.t
5,VoenObozren2016_2019_1_0010.t
6,VoenObozren2016_2019_1_0073.t
7,VoenObozren2016_2019_1_0283.t
8,VoenObozren2016_2019_1_0067.t
9,VoenObozren2016_2019_1_0342.t
10,VoenObozren2016_2019_1_0044.t
11,VoenObozren2016_2019_1_0009.t
12,VoenObozren2016_2019_1_0008.t
13,VoenObozren2016_2019_1_0007.t
14,VoenObozren2016_2019_1_0208.t
15,VoenObozren2016_2019_1_0237.t
16,VoenObozren2016_2019_1_0367.t
17,VoenObozren2016_2019_1_0083.t
18,VoenObozren2016_2019_1_0133.t
19,VoenObozren2016_2019_1_0016.t
20,VoenObozren2016_2019_1_0225.t
21,VoenObozren2016_2019_1_0014.t
22,VoenObozren2016_2019_1_0319.t
23,VoenObozren2016_2019_1_0089.t
24,VoenObozren2016_2019_1_0320.t
25,VoenObozren2016_2019_1_0114.t
26,VoenObozren2016_2019_1_0049.t
27,VoenObozren2016_2019_1_0087.t
28,VoenObozren2016_2019_1_0233.t
29,VoenObozren2016_2019_1_0018.t
30,VoenObozren2016_2019_1_0025.t
31,VoenObozren2016_2019_1_0143.t
32,VoenObozren2016_2019_1_0177.t
33,VoenObozren2016_2019_1_0264.t
34,VoenObozren2016_2019_1_0311.t
