Document,Cluster
VoenObozren2016_2019_1_0001.t,29
VoenObozren2016_2019_1_0002.t,30
VoenObozren2016_2019_1_0003.t,6
VoenObozren2016_2019_1_0004.t,7
VoenObozren2016_2019_1_0005.t,8
VoenObozren2016_2019_1_0006.t,7
VoenObozren2016_2019_1_0007.t,13
VoenObozren2016_2019_1_0008.t,12
VoenObozren2016_2019_1_0009.t,11
VoenObozren2016_2019_1_0010.t,5
VoenObozren2016_2019_1_0011.t,1
VoenObozren2016_2019_1_0012.t,3
VoenObozren2016_2019_1_0013.t,8
VoenObozren2016_2019_1_0014.t,21
VoenObozren2016_2019_1_0015.t,11
VoenObozren2016_2019_1_0016.t,19
VoenObozren2016_2019_1_0017.t,6
VoenObozren2016_2019_1_0018.t,29
VoenObozren2016_2019_1_0019.t,16
VoenObozren2016_2019_1_0020.t,0
VoenObozren2016_2019_1_0021.t,8
VoenObozren2016_2019_1_0022.t,4
VoenObozren2016_2019_1_0023.t,3
VoenObozren2016_2019_1_0024.t,2
VoenObozren2016_2019_1_0025.t,30
VoenObozren2016_2019_1_0026.t,6
VoenObozren2016_2019_1_0027.t,3
VoenObozren2016_2019_1_0028.t,8
VoenObozren2016_2019_1_0029.t,30
VoenObozren2016_2019_1_0030.t,8
VoenObozren2016_2019_1_0031.t,6
VoenObozren2016_2019_1_0032.t,4
VoenObozren2016_2019_1_0033.t,3
VoenObozren2016_2019_1_0034.t,8
VoenObozren2016_2019_1_0035.t,2
VoenObozren2016_2019_1_0036.t,8
VoenObozren2016_2019_1_0037.t,2
VoenObozren2016_2019_1_0038.t,2
VoenObozren2016_2019_1_0039.t,8
VoenObozren2016_2019_1_0041.t,8
VoenObozren2016_2019_1_0042.t,8
VoenObozren2016_2019_1_0043.t,8
VoenObozren2016_2019_1_0044.t,10
VoenObozren2016_2019_1_0045.t,4
VoenObozren2016_2019_1_0046.t,0
VoenObozren2016_2019_1_0047.t,8
VoenObozren2016_2019_1_0048.t,6
VoenObozren2016_2019_1_0049.t,26
VoenObozren2016_2019_1_0050.t,8
VoenObozren2016_2019_1_0051.t,8
VoenObozren2016_2019_1_0052.t,4
VoenObozren2016_2019_1_0053.t,8
VoenObozren2016_2019_1_0054.t,0
VoenObozren2016_2019_1_0055.t,3
VoenObozren2016_2019_1_0056.t,8
VoenObozren2016_2019_1_0057.t,29
VoenObozren2016_2019_1_0058.t,8
VoenObozren2016_2019_1_0059.t,3
VoenObozren2016_2019_1_0060.t,8
VoenObozren2016_2019_1_0061.t,6
VoenObozren2016_2019_1_0062.t,2
VoenObozren2016_2019_1_0063.t,2
VoenObozren2016_2019_1_0064.t,8
VoenObozren2016_2019_1_0065.t,8
VoenObozren2016_2019_1_0066.t,8
VoenObozren2016_2019_1_0067.t,8
VoenObozren2016_2019_1_0068.t,8
VoenObozren2016_2019_1_0069.t,24
VoenObozren2016_2019_1_0070.t,2
VoenObozren2016_2019_1_0071.t,2
VoenObozren2016_2019_1_0072.t,4
VoenObozren2016_2019_1_0073.t,6
VoenObozren2016_2019_1_0074.t,6
VoenObozren2016_2019_1_0075.t,2
VoenObozren2016_2019_1_0076.t,4
VoenObozren2016_2019_1_0077.t,8
VoenObozren2016_2019_1_0078.t,8
VoenObozren2016_2019_1_0079.t,8
VoenObozren2016_2019_1_0080.t,2
VoenObozren2016_2019_1_0081.t,8
VoenObozren2016_2019_1_0082.t,8
VoenObozren2016_2019_1_0083.t,17
VoenObozren2016_2019_1_0084.t,2
