Cluster,Central_File
0,VoenObozren2016_2019_1_0337.t
1,VoenObozren2016_2019_1_0118.t
2,VoenObozren2016_2019_1_0222.t
3,VoenObozren2016_2019_1_0077.t
4,VoenObozren2016_2019_1_0279.t
5,VoenObozren2016_2019_1_0292.t
6,VoenObozren2016_2019_1_0105.t
7,VoenObozren2016_2019_1_0059.t
8,VoenObozren2016_2019_1_0033.t
9,VoenObozren2016_2019_1_0099.t
10,VoenObozren2016_2019_1_0067.t
11,VoenObozren2016_2019_1_0367.t
12,VoenObozren2016_2019_1_0126.t
13,VoenObozren2016_2019_1_0320.t
14,VoenObozren2016_2019_1_0363.t
15,VoenObozren2016_2019_1_0236.t
16,VoenObozren2016_2019_1_0024.t
17,VoenObozren2016_2019_1_0124.t
18,VoenObozren2016_2019_1_0327.t
19,VoenObozren2016_2019_1_0283.t
20,VoenObozren2016_2019_1_0162.t
21,VoenObozren2016_2019_1_0073.t
22,VoenObozren2016_2019_1_0025.t
23,VoenObozren2016_2019_1_0342.t
24,VoenObozren2016_2019_1_0287.t
25,VoenObozren2016_2019_1_0062.t
26,VoenObozren2016_2019_1_0221.t
27,VoenObozren2016_2019_1_0082.t
28,VoenObozren2016_2019_1_0353.t
29,VoenObozren2016_2019_1_0185.t
