Cluster,Central_File
0,VoenObozren2016_2019_1_0138.t
1,VoenObozren2016_2019_1_0296.t
2,VoenObozren2016_2019_1_0336.t
3,VoenObozren2016_2019_1_0352.t
4,VoenObozren2016_2019_1_0064.t
5,VoenObozren2016_2019_1_0232.t
6,VoenObozren2016_2019_1_0177.t
7,VoenObozren2016_2019_1_0225.t
8,VoenObozren2016_2019_1_0060.t
9,VoenObozren2016_2019_1_0179.t
10,VoenObozren2016_2019_1_0240.t
11,VoenObozren2016_2019_1_0335.t
12,VoenObozren2016_2019_1_0234.t
13,VoenObozren2016_2019_1_0272.t
14,VoenObozren2016_2019_1_0307.t
15,VoenObozren2016_2019_1_0065.t
16,VoenObozren2016_2019_1_0098.t
17,VoenObozren2016_2019_1_0187.t
18,VoenObozren2016_2019_1_0269.t
19,VoenObozren2016_2019_1_0294.t
